ZSCORE_ONCODRIVECLUST	PVALUE_ONCODRIVEFM	DRIVER_LABEL	CLUST_COORDS	SYMBOL	POOL_SIGNALS	MUTS_CS	MUTS_PAM	KNOWN_DRIVER	ONCODRIVE_ROLE	PVALUE_ONCODRIVECLUST	GENE	QVALUE_ONCODRIVEFM	PROJECT	SIGNAL_COUNT	SIGNALS	CANCER_TYPE	MUTS_PAM_SAMPLES	MUTS_CS_SAMPLES	QVALUE_ONCODRIVECLUST
2.0399649640099997	0.000147997934123	perProject_driver	[466,469]:4,[581,581]:2,[594,594]:2,[600,600]:2	BRAF	RFC	18	17.0	True	0.9995	0.0206769077239	ENSG00000157764	0.006690623587890001	LUAD_TCGA	2	RF	LUAD	17.0	18	0.403199700616
	1.1003420397100001e-12	perProject_driver		ARID1A	RF	17	15.0	True	0.0005		ENSG00000117713	3.7663136101900005e-10	LUAD_TCGA	1	F	LUAD	14.0	14	
	0.0002324864866	perProject_driver		BAZ2B	F	15	14.0		0.909		ENSG00000123636	0.00913176429333	LUAD_TCGA	1	F	LUAD	10.0	10	
	0.000151079468834	perProject_driver		CDKN2A	RFC	15	15.0	True	0.0315		ENSG00000147889	0.00670345198751	LUAD_TCGA	2	RF	LUAD	15.0	15	
	2.88047363739e-12	perProject_driver		MMP2		15	13.0		0.7735		ENSG00000087245	8.627018543980001e-10	LUAD_TCGA	1	F	LUAD	12.0	13	
	8.59530977838e-05	perProject_driver		FN1	F	14	13.0		0.10400000000000001		ENSG00000115414	0.00429049213104	LUAD_TCGA	1	F	LUAD	13.0	14	
	4.12508181713e-05	perProject_driver		RB1	RF	14	12.0	True	0.0005		ENSG00000139687	0.00246049139206	LUAD_TCGA	2	RF	LUAD	12.0	14	
	1.5780716253700002e-06	perProject_driver		RBM10	F	14	12.0		0.087		ENSG00000182872	0.00017186634610900003	LUAD_TCGA	2	RF	LUAD	12.0	14	
	2.0984952338e-06	perProject_driver		DNMT3A	RFC	10	10.0	True	0.1995		ENSG00000119772	0.00020949977417500002	LUAD_TCGA	1	F	LUAD	9.0	9	
	1.23635900975e-05	perProject_driver		EPHB2		8	7.0		0.8490000000000001		ENSG00000133216	0.000972720451908	LUAD_TCGA	1	F	LUAD	6.0	6	
	9.2142733461e-06	perProject_driver		G3BP1		8	8.0		0.685		ENSG00000145907	0.000761289618526	LUAD_TCGA	1	F	LUAD	8.0	8	
	0.000182332309516	perProject_driver		EPHA4		7	7.0		0.696		ENSG00000116106	0.00766435462458	LUAD_TCGA	1	F	LUAD	7.0	7	
	1.37645387214e-05	perProject_driver		NTRK2		7	7.0		0.708		ENSG00000148053	0.00100167304887	LUAD_TCGA	1	F	LUAD	7.0	7	
	8.44297315328e-06	perProject_driver		CUL3	F	6	6.0		0.1075		ENSG00000036257	0.0007224772741160001	LUAD_TCGA	1	F	LUAD	6.0	6	
	1.37959977515e-05	perProject_driver		CRNKL1		6	5.0		0.8775		ENSG00000101343	0.00100167304887	LUAD_TCGA	1	F	LUAD	5.0	6	
	7.62308938196e-09	perProject_driver		U2AF1	FC	6	6.0	True	0.9329999999999999		ENSG00000160201	1.21766147728e-06	LUAD_TCGA	1	F	LUAD	6.0	6	
		perProject_driver		SPRR3		6	2.0		0.8715		ENSG00000163209		LUAD_TCGA	1	R	LUAD	2.0	6	
	4.21035672264e-05	perProject_driver		EFTUD2		5	5.0		0.679		ENSG00000108883	0.00246049139206	LUAD_TCGA	1	F	LUAD	5.0	5	
	0.00019568500103900002	perProject_driver		NTN4	F	5	5.0		0.7829999999999999		ENSG00000074527	0.008051472855	LUAD_TCGA	1	F	LUAD	5.0	5	
	0.00023040711770099998	perProject_driver		PSMD11		5	5.0		0.221		ENSG00000108671	0.00913176429333	LUAD_TCGA	1	F	LUAD	5.0	5	
	0.000198262478483	perProject_driver		ACVR1B	F	5	5.0		0.187		ENSG00000135503	0.008051472855	LUAD_TCGA	1	F	LUAD	5.0	5	
	0.973138034513	Pooled_driver		SETDB1	F	11	5.0		0.9670000000000001		ENSG00000143379	1.0	LUAD_TCGA	0		LUAD	5.0	10	
	0.883284501193	Pooled_driver		TAOK2	F	9	5.0		0.8385		ENSG00000149930	1.0	LUAD_TCGA	0		LUAD	5.0	9	
	0.529406787013	Pooled_driver		POLR2B	F	8	4.0		0.865		ENSG00000047315	1.0	LUAD_TCGA	0		LUAD	4.0	8	
	0.486985236159	Pooled_driver		CLASP2	F	8	6.0		0.198		ENSG00000163539	1.0	LUAD_TCGA	0		LUAD	5.0	7	
	0.0710805968787	Pooled_driver		MLH1	F	8	4.0	True	0.0335		ENSG00000076242	0.40477943072300004	LUAD_TCGA	0		LUAD	4.0	8	
	0.39689779850400003	Pooled_driver		PAX5	F	8	7.0	True	0.966		ENSG00000196092	0.91840149175	LUAD_TCGA	0		LUAD	5.0	6	
		Pooled_driver		DDX5	RF	8	3.0	True	0.126		ENSG00000108654		LUAD_TCGA	0		LUAD	3.0	8	
		Pooled_driver		ZNF814	C	8	3.0		0.904		ENSG00000204514		LUAD_TCGA	0		LUAD	3.0	6	
	0.765060628264	Pooled_driver		PRPF8	F	8	3.0		0.713		ENSG00000174231	1.0	LUAD_TCGA	0		LUAD	3.0	8	
		Pooled_driver		STIP1	F	7	5.0		0.032		ENSG00000168439		LUAD_TCGA	0		LUAD	5.0	6	
		Pooled_driver		BAP1	RF	7	4.0	True	0.0015		ENSG00000163930		LUAD_TCGA	0		LUAD	3.0	6	
	0.894913671866	Pooled_driver		NUP107	F	7	5.0		0.877		ENSG00000111581	1.0	LUAD_TCGA	0		LUAD	5.0	7	
	0.31762433653	Pooled_driver		ACTG2	F	7	5.0		0.769		ENSG00000163017	0.839060540601	LUAD_TCGA	0		LUAD	5.0	7	
	0.121747691719	Pooled_driver		NUP98	F	7	6.0	True	0.7165		ENSG00000110713	0.541201241854	LUAD_TCGA	0		LUAD	6.0	7	
	0.0925492213505	Pooled_driver		TBL1XR1	RF	6	6.0		0.127		ENSG00000177565	0.46260748327600004	LUAD_TCGA	0		LUAD	5.0	5	
	0.172877198057	Pooled_driver		TCF4	F	6	5.0		0.7465		ENSG00000196628	0.630843242955	LUAD_TCGA	0		LUAD	5.0	6	
	0.0522411197451	Pooled_driver		EZH2	F	6	5.0	True	0.179		ENSG00000106462	0.332898199227	LUAD_TCGA	0		LUAD	5.0	6	
	0.953556122531	Pooled_driver		CREBBP	F	6	4.0	True	0.043		ENSG00000005339	1.0	LUAD_TCGA	0		LUAD	4.0	6	
		Pooled_driver		NRAS	RFC	6	4.0	True	0.9965		ENSG00000213281		LUAD_TCGA	0		LUAD	4.0	6	
	0.05776111561919999	Pooled_driver		BLM	F	6	6.0	True	0.3155		ENSG00000197299	0.35215173797399996	LUAD_TCGA	0		LUAD	6.0	6	
	0.973015151481	Pooled_driver		CTCF	RF	6	3.0		0.006999999999999999		ENSG00000102974	1.0	LUAD_TCGA	0		LUAD	3.0	5	
